阿Q	ĀQ
欸乃	ǎinǎi
瑷珲	Àihuī
案头	àntóu
拜拜	báibái
蹦跶	bèngda
般若	bōrě
茶几	chájī
颤颤巍巍	chànchanwēiwēi
颤颤悠悠	chànchanyōuyōu
嫦娥	Cháng'é
吵吵	chāochao
刺啦	cīlā
刺棱	cīlēng
粢饭	cīfàn
打寒颤	dǎ	hánzhàn
打夯	dǎhāng
弹幕	dànmù
嘚瑟	dèse
的哥	dīgē
的姐	dījiě
俄而	é'ér
俄尔	é'ěr
额头	étóu
厄尔尼诺	è'ěrnínuò
谔谔	è'è
二𫫇英	èr'èyīng
恩断义绝	ēnduàn-yìjué
恩格尔	ēngé'ěr
儿媳妇	érxífu
尔耳	ěr'ěr
耳风	ěrfeng
耳性	ěrxing
二乎	èrhu
二忽	èrhu
发廊	fàláng
梵呗	fànbài
方案	fāng'àn
凫茈	fúcí
富实	fùshi
富态	fùtai
咖喱	gālí	
戛纳	Gā'nà
嘎子	gǎzi
泔水	gānshui
哥哥	gēge
工尺	gōngchě
瓜蔓	guāwàn
孩儿	hái'ér
韩非子	Hánfēizǐ
汉语拼音方案	Hànyǔ	Pīnyīn	Fāng'àn
蛤蟆	háma
虾蟆	háma
杭育	hángyō
黑咕隆咚	hēigulōngdōng
黑匣子	hēixiázi
轰隆隆	hōnglōnglōng
红不棱登	hóngbulēngdēng
忽地	hūdì
忽而	hū'ér
忽闪	hūshǎn/hūshan
呼扇	hūshan
忽悠	hūyou
花不棱登	huābulēngdēng
华佗	huàtuó
话匣子	huàxiázi
黄澄澄	huángdēngdēng
珲春	húnchūn
伽利略	jiālìlüè
贾平凹	jiǎpíngwā
槛车	jiànchē
糨糊	jiànghu
矫情	jiáoqing
今儿	jīnr
蹶子	juězi
邋遢	lāta
懒懒散散	lǎnlǎnsǎnsǎn
老子	lǎozi/lǎozǐ
棱子	léngzi
蠡测	lícè
尥蹶子	liàojuězi
𬘭𫄥	línlí
令爱	lìng'ài
令嫒	lìng'ài
刘禅	liúshàn
碌碡	liùzhou
孟子	mèngzǐ
棉袄	mián'ǎo
明儿	míngr
磨叽	mòji
磨唧	mòji
嬷嬷	mómo
魔怔	mózheng
万俟	mòqí
穆棱	mùlíng
南无	nāmó
派司	pāsi
皮袄	pí'ǎo
姘头	pīntou
扑棱	pūlēng
龟兹	qiūcí
苣荬菜	qǔmaicài
杉篙	shāgāo
杉木	shāmù
禅让	shànràng
舌苔	shétāi
拾级而上	shèjí'érshàng
兽槛	shòujiàn
藤蔓	téngwàn
晚安	wǎn'ān
万安	wàn'ān
慰藉	wèijiè
文绉绉	wénzhōuzhōu
西岸	xī'àn
黠慧	xiáhuì
下不来	xiàbulái
下颚	xià'è
兄弟阋墙	xiōngdì-xìqiáng
许褚	xǔchǔ
阏氏	yānzhī
幺蛾子	yāo'ézi
幺麽	yāomó	
一波未平，一波又起	yībō-wèipíng,yībō-yòuqǐ
一不做，二不休	yī/bù/zuò,èr/bù/xiū
一倡百和	yīchàng-bǎihé
一带一路	yī/dài/yī/lù
一而再，再而三	yī	ér	zài,zài	ér	sān
一二	yī'èr
一二•九运动	Yīèr-Jiǔ/Yùndòng
一曝十寒	yīpù-shíhán
一人得道，鸡犬升天	yīrén-dédào,jīquǎn-shēngtiān
一是一，二是二	yī/shì/yī,èr/shì/èr
一头雾水	yītóu-wùshuǐ
一言既出，驷马难追	yīyán-jìchū,sìmǎ-nánzhuī
一枝独秀	yīzhī-dúxiù
一走了之	yīzǒu-liǎozhī
依样葫芦	yīyàng-húlu
移动电话	yídòng/diànhuà
疑难杂症	yínán/zázhèng
以偏概全	yǐpiān-gàiquán
以人废言	yǐrén-fèiyán
以人为本	yǐrén-wéiběn
以汤沃雪	yǐtāng-wòxuě
